date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:27	16276/16276	---M-Z	200	added ('OK')	application/font-woff	etag:%22c3cda461a6425f738a0a749d0b481692-ssl-df%22	https://onlyflix.netlify.app/fonts/fa-regular-400.woff	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-regular-400.woff	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:28	33736/33736	---M--	200	added ('OK')	font/ttf	etag:%2275e104160d2b821c5909d19f047f674c-ssl%22	https://onlyflix.netlify.app/fonts/fa-regular-400.ttf	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-regular-400.ttf	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:28	144714/144714	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e82c50b4f880a9138679efcba53faa7f-ssl-df%22	https://onlyflix.netlify.app/images/fa-regular-400.svg	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/fa-regular-400.svg	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:29	203030/203030	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%223e2043a0d3f510df89696c8bdb04cf62-ssl-df%22	https://onlyflix.netlify.app/fonts/fa-solid-900.eot	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-solid-900.eot	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:29	78196/78196	---M--	200	added ('OK')	font/woff2	etag:%22e6f53212f3c25bfce07edb7f34a4244f-ssl%22	https://onlyflix.netlify.app/fonts/fa-solid-900.woff2	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-solid-900.woff2	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:29	101652/101652	---MCZ	200	added ('OK')	application/font-woff	etag:%22e29b4586ea8bc9fdd83766dd80564fc8-ssl-df%22	https://onlyflix.netlify.app/fonts/fa-solid-900.woff	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-solid-900.woff	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:30	202744/202744	---M--	200	added ('OK')	font/ttf	etag:%22de29296fdabd647ba1b2778018514eee-ssl%22	https://onlyflix.netlify.app/fonts/fa-solid-900.ttf	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fa-solid-900.ttf	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:30	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a10090500e3b117d6d0b3e3b31242a0f-ssl-df%22	https://onlyflix.netlify.app/images/fa-solid-900.svg	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/fa-solid-900.svg	(from https://onlyflix.netlify.app/css/all.min.css)
14:47:31	100761/100761	---M--	200	added ('OK')	image/png	etag:%221b83a3549d84dc23f6f97fedfdfe0ec0-ssl%22	https://onlyflix.netlify.app/images/dsfdsf.png	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/dsfdsf.png	(from https://onlyflix.netlify.app/css/post-119.css)
14:47:32	123520/123520	---M--	200	added ('OK')	font/woff2	etag:%22811162fd604cd8b25180c99377492e5e-ssl%22	https://onlyflix.netlify.app/fonts/happy-icons.woff2	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/happy-icons.woff2	(from https://onlyflix.netlify.app/css/style.min.css)
14:47:32	3059508/3059508	---M--	200	added ('OK')	image/png	etag:%22f8b2548d089b917c7dbcecb82eced828-ssl%22	https://onlyflix.netlify.app/images/tterte.png	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/tterte.png	(from https://onlyflix.netlify.app/css/post-119.css)
14:47:32	294780/294780	---M-Z	200	added ('OK')	application/font-woff	etag:%2219ec99a5587f569db7b809ac2141b639-ssl-df%22	https://onlyflix.netlify.app/fonts/happy-icons.woff	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/happy-icons.woff	(from https://onlyflix.netlify.app/css/style.min.css)
14:47:33	775444/775444	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d36fd02b6bd11da2e5e9caa9a86233c8-ssl-df%22	https://onlyflix.netlify.app/images/happy-icons.svg	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/happy-icons.svg	(from https://onlyflix.netlify.app/css/style.min.css)
14:47:33	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://onlyflix.netlify.app/fonts/fontawesome-webfont_1.eot	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fontawesome-webfont_1.eot	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
14:47:33	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://onlyflix.netlify.app/fonts/fontawesome-webfont.eot	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fontawesome-webfont.eot	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
14:47:33	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%223c437c341174d75b3bf5d2d5a134da0d-ssl%22	https://onlyflix.netlify.app/fonts/fontawesome-webfont.woff2	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fontawesome-webfont.woff2	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
14:47:34	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	https://onlyflix.netlify.app/fonts/fontawesome-webfont.woff	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fontawesome-webfont.woff	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
14:47:35	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2270ff12bbc965c9bb40dc96081062bebe-ssl%22	https://onlyflix.netlify.app/fonts/fontawesome-webfont.ttf	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/fonts/fontawesome-webfont.ttf	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
14:47:37	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226fbd06ce2be0d05e10b5320f3fe58186-ssl-df%22	https://onlyflix.netlify.app/images/fontawesome-webfont.svg	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/images/fontawesome-webfont.svg	(from https://onlyflix.netlify.app/css/font-awesome.min.css)
